[Fri May 29 13:32:09 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:09 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:09 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:09 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:09 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:09 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:09 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:09 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:09 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:09 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:09 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:09 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:09 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:09 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:09 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:09 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:09 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:09 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:09 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:09 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:09 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:09 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:09 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:09 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:09 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:09 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:09 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:09 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:09 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:09 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:09 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:09 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:09 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:09 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:09 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:09 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:09 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:09 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:09 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:09 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:10 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:11 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:11 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:11 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:11 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:11 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:11 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:11 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:11 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:11 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:11 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:11 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:11 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:11 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:11 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:11 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:11 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:11 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:11 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:11 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:11 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:11 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:11 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:11 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:11 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:11 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:11 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:11 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:11 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:11 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:11 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:11 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:32:11 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
